Group_CompFuncLoc,SerialPrefix_CompFuncLoc,Validation Code,Group (L),Serial Prefix,Functional_Loc,Task Desc,Component_Code,Component_Code_Description,Modifier_Code,Reason,Model,Column1
90017886FDRSYS-DRLAX-AXLLH,B9KFDRSYS-DRLAX-AXLLH,90017886B9KFDRSYS-DRLAX-AXLLH,90017886,B9K,FDRSYS-DRLAX-AXLLH,Repl Drive Line Axle LH,4050,4050 - FINAL DRIVE,LT,,,B9K4050 - FINAL DRIVELT
90017886FDRSYS-DRLAX-AXLRH,B9KFDRSYS-DRLAX-AXLRH,90017886B9KFDRSYS-DRLAX-AXLRH,90017886,B9K,FDRSYS-DRLAX-AXLRH,Repl Drive Line Axle RH,4050,4050 - FINAL DRIVE,RI,,,B9K4050 - FINAL DRIVERI
FDRSYS-FDRVE-FDRLH,B9KFDRSYS-FDRVE-FDRLH,B9KFDRSYS-FDRVE-FDRLH,,B9K,FDRSYS-FDRVE-FDRLH,,4050,4050 - FINAL DRIVE,LT,,,B9K4050 - FINAL DRIVELT
FDRSYS-FDRVE-FDRRH,B9KFDRSYS-FDRVE-FDRRH,B9KFDRSYS-FDRVE-FDRRH,,B9K,FDRSYS-FDRVE-FDRRH,,4050,4050 - FINAL DRIVE,RI,,,B9K4050 - FINAL DRIVERI
90021152ENGINE,DWCENGINE,90021152DWCENGINE,90021152,DWC,ENGINE,Repl Engine Cat 3516B,1000,1000 - ENGINE,00,,,DWC1000 - ENGINE00
90002682ENGINE-COSYS-RADTR,DWCENGINE-COSYS-RADTR,90002682DWCENGINE-COSYS-RADTR,90002682,DWC,ENGINE-COSYS-RADTR,Repl Radiator Engine Cooling,1353,1353 - RADIATOR,00,,,DWC1353 - RADIATOR00
90002692TRNSYS-TRANS,DWCTRNSYS-TRANS,90002692DWCTRNSYS-TRANS,90002692,DWC,TRNSYS-TRANS,Repl Transmission,3030,3030 - TRANSMISSION,00,,,DWC3030 - TRANSMISSION00
90002693TRNSYS-TRQUE,DWCTRNSYS-TRQUE,90002693DWCTRNSYS-TRQUE,90002693,DWC,TRNSYS-TRQUE,Repl Torque Converter,3101,3101 - TORQUE CONVERTER,00,,,DWC3101 - TORQUE CONVERTER00
90002705TRNSYS-PMPDR-FRPDR,DWCTRNSYS-PMPDR-FRPDR,90002705DWCTRNSYS-PMPDR-FRPDR,90002705,DWC,TRNSYS-PMPDR-FRPDR,Repl Gearbox Pump Drive Front,3108,3108 - PUMP DRIVE GRP,FR,,,DWC3108 - PUMP DRIVE GRPFR
90002706TRNSYS-PMPDR-RRPDR,DWCTRNSYS-PMPDR-RRPDR,90002706DWCTRNSYS-PMPDR-RRPDR,90002706,DWC,TRNSYS-PMPDR-RRPDR,Repl Gearbox Pump Drive Rear,3108,3108 - PUMP DRIVE GRP,RE,,,DWC3108 - PUMP DRIVE GRPRE
90017029TRNSYS-TRTRF,DWCTRNSYS-TRTRF,90017029DWCTRNSYS-TRTRF,90017029,DWC,TRNSYS-TRTRF,Repl Transmission Transfer Case,3159,3159 - TRANSFER GEARS,00,,,DWC3159 - TRANSFER GEARS00
90002694TRNSYS-TRPMP,DWCTRNSYS-TRPMP,90002694DWCTRNSYS-TRPMP,90002694,DWC,TRNSYS-TRPMP,Repl Transmission Charge Pump,3204,3204 - CHARGE PUMP,00,,,DWC3204 - CHARGE PUMP00
